node_id,label,core,layer,degree
Q419,Perú,4,12,119
Q2065736,bien cultural,4,12,92
Q1920602,Provincia de Acomayo,4,12,18
Q1920520,Provincia de Quispicanchi,4,12,18
Q1132101,Provincia de Cuzco,4,12,17
Q2723621,Distrito de Cusco,4,12,16
Q2718491,Distrito de Acomayo,4,12,5
Q3313067,Distrito de Oropesa,4,11,5
Q42826974,Calles y plazas en la zona monumental del Cuzco,4,11,5
Q42825898,Capilla de Santa Barbara de Acomayo,4,11,4
Q42825969,Iglesia de Belén de Acomayo,4,11,4
Q42826054,Iglesia parroquial de San Agustín de Pomacanchi,4,11,4
Q42826110,Molino de San Cristóbal de Acomayo o molino de los Incas,4,11,4
Q42826170,Molino de la creación o Uyfita molina,4,11,4
Q42831611,Iglesia de Oropesa,4,11,4
Q42831659,Casa Hacienda de Callapucyo,4,11,4
Q42831708,Casa Hacienda del Marques de Valle Umbroso,4,11,4
Q42831764,Plaza principal y calles del pueblo de Quiquijana,4,11,4
Q3312532,Distrito de Quiquijana,4,11,4
Q42831821,Capilla de Quiquijana,4,11,4
Q42831882,Iglesia parroquial de Quiquijana,4,11,4
Q42831947,Antiguo puente sobre el rio Vilcanota (restos),4,11,4
Q42833635,Capilla Santa Rosa de Lima de Choquepata,4,11,4
Q5738212,Cabildo del Cuzco,4,11,4
Q42827039,Lucre calle,4,11,4
Q42827108,Calle de acceso a Mesa Redonda,4,11,4
Q42827174,Calle de Recoleta,4,11,4
Q42827242,Calle del Retiro (Qquenqo Mayo),4,11,4
Q42827318,Plaza de la Almudena del Cuzco,4,11,4
Q42827372,Plaza de Belén del Cuzco,4,11,4
Q42827429,Plaza de Santiago del Cuzco,4,11,4
Q42827490,Plazuela de la Recoleta del Cuzco,4,11,4
Q42827558,"Iglesia, hospital y convento de la Almudena del Cuzco",4,11,4
Q1360456,Tambomachay,3,10,5
Q2003624,Tipón,3,10,4
Q42835842,Templo San Francisco de Asis de Huayqui y torre exenta ubicada fuera de la plaza,3,10,4
Q42836071,Templo San Miguel de Acos,3,10,4
Q42836337,Templo Santiago apostol de Corma,3,10,4
Q2390374,Puca Pucara,3,10,4
Q839954,yacimiento arqueológico,3,9,5
Q591626,Distrito de Acos,3,9,4
Q1920613,Provincia de Paruro,3,8,12
Q15949935,Waqrapukara,3,8,4
Q200538,fiesta,3,7,10
Q2942242,Catedral del Cusco,3,7,9
Q1948019,Provincia de Calca,3,7,9
Q1920482,Provincia de Anta,3,7,7
Q951287,Provincia de Canchis,3,7,7
Q2408955,Festividad de Qoyllorit'i,3,7,6
Q1920500,Provincia de Canas,3,7,6
Q3001637,Convento de Santo Domingo,3,7,6
